"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2025","1,316.67","1,309.29","1,318.82","1,303.77","171.87M","0.85%"
"10/07/2025","1,305.57","1,315.40","1,318.73","1,302.96","167.30M","-0.57%"
"10/06/2025","1,313.02","1,310.95","1,315.59","1,305.35","181.13M","0.47%"
"10/03/2025","1,306.85","1,306.66","1,315.42","1,303.47","164.60M","0.14%"
"10/02/2025","1,305.05","1,304.09","1,310.28","1,297.78","183.98M","0.24%"
"10/01/2025","1,301.91","1,296.92","1,304.51","1,296.56","197.32M","-0.32%"
"09/30/2025","1,306.11","1,294.51","1,306.71","1,294.04","211.20M","0.80%"
"09/29/2025","1,295.78","1,301.76","1,303.03","1,291.33","216.81M","0.31%"
"09/26/2025","1,291.77","1,288.38","1,296.83","1,287.66","189.82M","0.87%"
"09/25/2025","1,280.62","1,282.94","1,284.46","1,275.50","192.72M","-0.66%"
"09/24/2025","1,289.12","1,298.43","1,300.97","1,288.98","191.42M","-0.51%"
"09/23/2025","1,295.68","1,298.39","1,306.31","1,290.85","220.67M","0.01%"
"09/22/2025","1,295.50","1,288.00","1,297.47","1,284.59","232.80M","0.37%"
"09/19/2025","1,290.66","1,291.92","1,293.89","1,280.89","422.35M","0.21%"
"09/18/2025","1,287.96","1,277.65","1,290.91","1,276.12","208.93M","1.06%"
"09/17/2025","1,274.51","1,281.71","1,287.47","1,266.71","246.02M","-0.45%"
"09/16/2025","1,280.31","1,287.37","1,287.67","1,276.40","202.93M","-0.28%"
"09/15/2025","1,283.93","1,281.48","1,287.48","1,279.50","179.16M","0.45%"
"09/12/2025","1,278.24","1,286.13","1,288.97","1,277.64","177.53M","-0.82%"
"09/11/2025","1,288.77","1,278.13","1,292.65","1,276.51","229.12M","0.96%"
"09/10/2025","1,276.55","1,271.27","1,280.55","1,270.59","180.42M","0.73%"
"09/09/2025","1,267.33","1,272.90","1,272.90","1,259.90","159.13M","-0.65%"
"09/08/2025","1,275.58","1,275.01","1,278.14","1,266.45","206.30M","0.21%"
"09/05/2025","1,272.95","1,280.12","1,282.29","1,260.68","202.23M","-0.40%"
"09/04/2025","1,278.02","1,266.25","1,278.15","1,262.76","176.79M","1.09%"
"09/03/2025","1,264.29","1,269.46","1,270.71","1,258.08","168.58M","-0.48%"
"09/02/2025","1,270.43","1,268.91","1,271.26","1,262.17","187.72M","-1.06%"
"08/29/2025","1,284.04","1,294.34","1,294.82","1,279.38","167.47M","-0.95%"
"08/28/2025","1,296.37","1,297.79","1,298.06","1,291.76","166.49M","0.17%"
"08/27/2025","1,294.21","1,292.66","1,296.55","1,291.96","164.35M","-0.02%"
"08/26/2025","1,294.42","1,281.02","1,295.63","1,281.02","233.66M","1.03%"
"08/25/2025","1,281.21","1,293.00","1,295.93","1,281.15","206.18M","-1.02%"
"08/22/2025","1,294.41","1,279.79","1,303.03","1,279.79","276.51M","1.62%"
"08/21/2025","1,273.75","1,275.97","1,279.33","1,271.61","166.58M","-0.34%"
"08/20/2025","1,278.05","1,277.74","1,280.86","1,270.25","198.91M","-0.09%"
"08/19/2025","1,279.26","1,276.99","1,287.29","1,274.42","211.74M","0.19%"
"08/18/2025","1,276.88","1,270.85","1,277.82","1,270.24","186.83M","0.40%"
"08/15/2025","1,271.74","1,279.16","1,279.16","1,271.04","198.08M","-0.55%"
"08/14/2025","1,278.76","1,282.22","1,284.97","1,276.24","193.50M","-0.88%"
"08/13/2025","1,290.15","1,288.65","1,290.55","1,275.14","227.06M","0.39%"
"08/12/2025","1,285.11","1,275.58","1,285.25","1,275.29","205.65M","1.09%"
"08/11/2025","1,271.31","1,275.39","1,276.51","1,268.76","181.87M","-0.29%"
"08/08/2025","1,274.95","1,279.83","1,284.16","1,272.77","164.47M","-0.01%"
"08/07/2025","1,275.08","1,283.63","1,283.70","1,267.50","192.91M","-0.13%"
"08/06/2025","1,276.68","1,276.34","1,279.68","1,267.58","229.00M","0.06%"
"08/05/2025","1,275.89","1,276.90","1,283.00","1,267.17","222.23M","-0.22%"
"08/04/2025","1,278.66","1,271.11","1,279.69","1,270.00","200.28M","0.91%"
"08/01/2025","1,267.14","1,269.75","1,271.92","1,253.22","252.47M","-1.46%"
"07/31/2025","1,285.95","1,283.36","1,294.81","1,283.36","285.75M","0.00%"
"07/30/2025","1,285.96","1,291.17","1,293.08","1,280.18","270.75M","-0.49%"
"07/29/2025","1,292.24","1,307.61","1,307.84","1,288.27","315.49M","-1.14%"
"07/28/2025","1,307.19","1,311.31","1,311.56","1,303.87","212.98M","-0.29%"
"07/25/2025","1,311.04","1,302.43","1,311.98","1,298.26","215.77M","0.98%"
"07/24/2025","1,298.31","1,299.20","1,308.00","1,296.16","296.04M","-0.16%"
"07/23/2025","1,300.42","1,287.71","1,301.15","1,286.85","254.20M","1.75%"
"07/22/2025","1,278.07","1,268.82","1,280.37","1,266.66","214.98M","0.30%"
"07/21/2025","1,274.24","1,284.52","1,286.54","1,274.24","171.59M","-0.60%"
"07/18/2025","1,281.95","1,289.76","1,290.64","1,276.29","227.14M","-0.19%"
"07/17/2025","1,284.40","1,277.96","1,286.41","1,276.64","256.70M","0.87%"
"07/16/2025","1,273.26","1,272.64","1,274.04","1,256.14","201.61M","0.35%"
"07/15/2025","1,268.80","1,281.82","1,281.93","1,268.51","208.37M","-0.76%"
"07/14/2025","1,278.57","1,271.63","1,279.42","1,269.32","195.43M","0.54%"
"07/11/2025","1,271.66","1,269.33","1,274.67","1,267.01","194.74M","-0.31%"
"07/10/2025","1,275.59","1,271.23","1,280.15","1,270.21","250.48M","0.52%"
"07/09/2025","1,268.95","1,267.20","1,269.90","1,260.39","181.43M","0.70%"
"07/08/2025","1,260.14","1,259.74","1,263.73","1,254.19","196.21M","0.01%"
"07/07/2025","1,260.07","1,264.57","1,268.08","1,251.99","203.29M","-0.34%"
"07/03/2025","1,264.37","1,257.48","1,265.61","1,257.26","109.39M","0.82%"
"07/02/2025","1,254.10","1,250.84","1,254.12","1,247.22","180.11M","0.10%"
"07/01/2025","1,252.83","1,245.21","1,255.75","1,244.26","220.76M","0.30%"
"06/30/2025","1,249.13","1,242.70","1,250.44","1,240.19","240.62M","0.50%"
"06/27/2025","1,242.86","1,232.90","1,248.34","1,231.64","336.58M","1.01%"
"06/26/2025","1,230.44","1,222.35","1,231.88","1,220.66","198.77M","1.10%"
"06/25/2025","1,217.00","1,229.07","1,229.07","1,214.99","186.03M","-0.93%"
"06/24/2025","1,228.39","1,224.46","1,230.32","1,217.92","217.93M","0.86%"
"06/23/2025","1,217.96","1,201.33","1,218.66","1,196.58","201.25M","1.29%"
"06/20/2025","1,202.40","1,208.22","1,210.75","1,198.10","343.22M","0.14%"
"06/18/2025","1,200.77","1,203.71","1,212.54","1,199.97","195.85M","-0.25%"
"06/17/2025","1,203.80","1,209.04","1,212.12","1,202.07","189.18M","-0.75%"
"06/16/2025","1,212.95","1,211.85","1,220.04","1,210.93","184.48M","0.71%"
"06/13/2025","1,204.35","1,203.97","1,215.02","1,201.02","206.42M","-0.87%"
"06/12/2025","1,214.88","1,209.03","1,215.67","1,207.33","192.83M","-0.24%"
"06/11/2025","1,217.76","1,218.04","1,221.64","1,206.52","188.16M","0.03%"
"06/10/2025","1,217.43","1,223.83","1,224.26","1,211.35","208.94M","-0.44%"
